Altium Designer Pick and Place Locations
C:\Users\acvig\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       05/07/23
Time:       14:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment             Description                                                                                                              Designator Footprint                       Layer       Rotation 
3825.000      4045.000      1N5819HW-7-F        "DIODE SCHOTTKY 40V 1A SOD123"                                                                                           D2         FP-SOD123-IPC_A                 TopLayer    180      
4460.000      4020.000      1N5819HW-7-F        "DIODE SCHOTTKY 40V 1A SOD123"                                                                                           D1         FP-SOD123-IPC_A                 TopLayer    0        
2288.543      1435.039      1655                "Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel"          U2         ADA-RGB-1655_V                  BottomLayer 180      
1657.697      2265.000      KMR211GLFS          "SWITCH TACTILE SPST-NO 0.05A 32V"                                                                                       SW2        FP-KMR211GLFS-MFG               TopLayer    90       
1887.697      2265.000      KMR211GLFS          "SWITCH TACTILE SPST-NO 0.05A 32V"                                                                                       SW1        FP-KMR211GLFS-MFG               TopLayer    90       
3766.536      3795.000      CR0805-FX-1002ELF   "Thick Film Chip Resistors 0805 10kO 0.125W 1% 100ppm/°C"                                                                R6         FP-CR0805-IPC_A                 TopLayer    0        
2569.606      2515.000      BME680              "Integrated Environmental Unit"                                                                                          U1         PSON80P300X300X100-8N           TopLayer    270      
3202.480      1810.000      08055A2R2CAT2A      ""                                                                                                                       C11        CAPC2013X94X50NL20T25           TopLayer    0        
3270.000      1518.937      0900AT43A0070E      "RF ANT CHIP SOLDER SMD"                                                                                                 ANT1       FP-0900AT43A0070E-MFG           TopLayer    270      
3372.787      2350.000      08055C104KAT2A      "General Purpose Ceramic Capacitor, 0805, 100nF, 10%, X7R, 0.15, 50V"                                                    C12        FP-0805-L_2_01_0_2-W_1_25-IPC_C TopLayer    0        
3372.787      2450.000      08055C104KAT2A      "General Purpose Ceramic Capacitor, 0805, 100nF, 10%, X7R, 0.15, 50V"                                                    C13        FP-0805-L_2_01_0_2-W_1_25-IPC_C TopLayer    0        
3755.000      2145.000      CR0805-FX-1002ELF   "Thick Film Chip Resistors 0805 10kO 0.125W 1% 100ppm/°C"                                                                R1         FP-CR0805-IPC_A                 TopLayer    180      
3345.000      2925.000      61031021121         "SMT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 10 pins"                                                       P2         61031021121                     TopLayer    90       
3330.000      2125.000      ZGM230SB27HGN2R     "No Description Available"                                                                                               U7         QFN44_ZGM230S_SIL               TopLayer    90       
2477.565      2270.000      CRCW08054K70FKEA    "RES Thick Film, 4.7kO, 1%, 0.125W, 100ppm/°C, 0805"                                                                     R3         FP-CRCW0805-e3-IPC_B            TopLayer    180      
2665.000      2270.000      CRCW08054K70FKEA    "RES Thick Film, 4.7kO, 1%, 0.125W, 100ppm/°C, 0805"                                                                     R2         FP-CRCW0805-e3-IPC_B            TopLayer    0        
2775.000      1812.787      08055C104KAT2A      "General Purpose Ceramic Capacitor, 0805, 100nF, 10%, X7R, 0.15, 50V"                                                    C3         FP-0805-L_2_01_0_2-W_1_25-IPC_C TopLayer    90       
4015.000      2147.787      08055C104KAT2A      "General Purpose Ceramic Capacitor, 0805, 100nF, 10%, X7R, 0.15, 50V"                                                    C2         FP-0805-L_2_01_0_2-W_1_25-IPC_C TopLayer    270      
